brand,name,original_price,current_price,url,competitor
Patagonia,Brodeo Beanie,1290.0,970.0,https://www.freshlabels.cz/en/products/patagonia-brodeo-beanie-pg2796/,queens
Fjällräven,Kanken Card Wallet,990.0,990.0,https://www.freshlabels.cz/en/products/fjallraven-kanken-card-wallet-fj368/,queens
Patagonia,Brodeo Beanie,1290.0,900.0,https://www.freshlabels.cz/en/products/patagonia-brodeo-beanie-pg2800/,queens
Patagonia,Synch Gloves,1290.0,900.0,https://www.freshlabels.cz/en/products/patagonia-synch-gloves-pg2801/,queens
Fjällräven,Kanken Card Wallet,990.0,990.0,https://www.freshlabels.cz/en/products/fjallraven-kanken-card-wallet-fj364/,queens
Fjällräven,Byron Hat Thin,1190.0,830.0,https://www.freshlabels.cz/en/products/fjallraven-byron-hat-thin-fj1530/,queens
Fjällräven,Fjällräven Tab Hat,890.0,620.0,https://www.freshlabels.cz/en/products/fjallraven-fjallraven-tab-hat-fj1535/,queens
Patagonia,Retro Pile Gloves,1590.0,1270.0,https://www.freshlabels.cz/en/products/patagonia-retro-pile-gloves-pg2804/,queens
Nuuna,Graphic L,790.0,630.0,https://www.freshlabels.cz/en/products/nuuna-graphic-l-nuu003/,queens
AOMU,Inhalační tyčinka AOMU Intimity,349.0,300.0,https://www.freshlabels.cz/en/products/aomu-inhalacni-tycinka-aomu-intimity-ao004/,queens
AOMU,Inhalační tyčinka AOMU Nowness,399.0,340.0,https://www.freshlabels.cz/en/products/aomu-inhalacni-tycinka-aomu-nowness-ao007/,queens
Carhartt WIP,Webster Hat,1550.0,1160.0,https://www.freshlabels.cz/en/products/carhartt-wip-webster-hat-c4828/,queens
P&T,Winter Whisper Set,1090.0,870.0,https://www.freshlabels.cz/en/products/pt-winter-whisper-set-pr119/,queens
AOMU,Inhalační tyčinka AOMU Breath,349.0,300.0,https://www.freshlabels.cz/en/products/aomu-inhalacni-tycinka-aomu-breath-ao006/,queens
Secrid,Cardprotector,879.0,700.0,https://www.freshlabels.cz/en/products/secrid-cardprotector-scr001/,queens
ENAMEL Copenhagen,"Hoops, Classic Wide 15 mm",1490.0,1190.0,https://www.freshlabels.cz/en/products/enamel-copenhagen-hoops-classic-wide-15-mm-ena017/,queens
Herschel Supply,Vintage Ranger Cap,1190.0,830.0,https://www.freshlabels.cz/en/products/herschel-supply-vintage-ranger-cap-he4029/,queens
Herschel Supply,Douglas Station Beanie,890.0,620.0,https://www.freshlabels.cz/en/products/herschel-supply-douglas-station-beanie-he4031/,queens
Dickies,Williston Cap,890.0,760.0,https://www.freshlabels.cz/en/products/dickies-williston-cap-di498/,queens
P&T,Mumbai Express Set,1190.0,950.0,https://www.freshlabels.cz/en/products/pt-mumbai-express-set-pr122/,queens
ENAMEL Copenhagen,"Hoops, Belle",1250.0,1250.0,https://www.freshlabels.cz/en/products/enamel-copenhagen-hoops-belle-ena037/,queens
ENAMEL Copenhagen,"Studs, Maia Small",1390.0,1390.0,https://www.freshlabels.cz/en/products/enamel-copenhagen-studs-maia-small-ena042/,queens
AOMU,Inhalační tyčinka AOMU Energy,349.0,300.0,https://www.freshlabels.cz/en/products/aomu-inhalacni-tycinka-aomu-energy-ao001/,queens
AOMU,Inhalační tyčinka AOMU Sleep,349.0,300.0,https://www.freshlabels.cz/en/products/aomu-inhalacni-tycinka-aomu-sleep-ao003/,queens
P&T,Me Myself & Tea Set,1390.0,1180.0,https://www.freshlabels.cz/en/products/pt-me-myself-tea-set-pr117/,queens
AOMU,Inhalační tyčinka AOMU Anticold,349.0,300.0,https://www.freshlabels.cz/en/products/aomu-inhalacni-tycinka-aomu-anticold-ao005/,queens
ENAMEL Copenhagen,"Studs, Daphne",1250.0,1250.0,https://www.freshlabels.cz/en/products/enamel-copenhagen-studs-daphne-ena041/,queens
So.Slow,Incense Cones,390.0,390.0,https://www.freshlabels.cz/en/products/soslow-incense-cones-sos019k/,queens
Patagonia,Powder Town Headband,1090.0,760.0,https://www.freshlabels.cz/en/products/patagonia-powder-town-headband-pg2847/,queens
Patagonia,Micro D Gaiter,790.0,550.0,https://www.freshlabels.cz/en/products/patagonia-micro-d-gaiter-pg2848/,queens
So.Slow,Sage Smudge Sticks,450.0,450.0,https://www.freshlabels.cz/en/products/soslow-sage-smudge-sticks-sos021k/,queens
Carhartt WIP,Acrylic Watch Hat,690.0,520.0,https://www.freshlabels.cz/en/products/carhartt-wip-acrylic-watch-hat-c4901/,queens
Carhartt WIP,Deconstructed Leather Wallet,1450.0,1020.0,https://www.freshlabels.cz/en/products/carhartt-wip-deconstructed-leather-wallet-c4915/,queens
So.Slow,TIAGUA,590.0,590.0,https://www.freshlabels.cz/en/products/soslow-tiagua-sos027k/,queens
So.Slow,Room Mist Rose Geranium,450.0,450.0,https://www.freshlabels.cz/en/products/soslow-room-mist-rose-geranium-sos023k/,queens
So.Slow,Room Mist Black Pepper,450.0,450.0,https://www.freshlabels.cz/en/products/soslow-room-mist-black-pepper-sos024k/,queens
FURIOSA®,Blush 50 ml,2490.0,1990.0,https://www.freshlabels.cz/en/products/furiosa-blush-50-ml-fur036/,queens
So.Slow,Peony Flower,490.0,490.0,https://www.freshlabels.cz/en/products/soslow-peony-flower-sos028k/,queens
ENAMEL Copenhagen,"Studs, Soliel",1250.0,1000.0,https://www.freshlabels.cz/en/products/enamel-copenhagen-studs-soliel-ena056/,queens
ENAMEL Copenhagen,"Studs, Soliel",1250.0,1000.0,https://www.freshlabels.cz/en/products/enamel-copenhagen-studs-soliel-ena057/,queens
So.Slow,UGA,590.0,590.0,https://www.freshlabels.cz/en/products/soslow-uga-sos026k/,queens
ENAMEL Copenhagen,"Studs, Soleil",1250.0,1000.0,https://www.freshlabels.cz/en/products/enamel-copenhagen-studs-soleil-ena055/,queens
Carhartt WIP,Letterpress Blanket,3290.0,2470.0,https://www.freshlabels.cz/en/products/carhartt-wip-letterpress-blanket-c4867/,queens
Carhartt WIP,Sardinas Cap,1290.0,900.0,https://www.freshlabels.cz/en/products/carhartt-wip-sardinas-cap-c4857/,queens
ENAMEL Copenhagen,"Studs, Sana",1250.0,1000.0,https://www.freshlabels.cz/en/products/enamel-copenhagen-studs-sana-ena054/,queens
Carhartt WIP,Sardinas Cap,1290.0,970.0,https://www.freshlabels.cz/en/products/carhartt-wip-sardinas-cap-c4858/,queens
Carhartt WIP,Clover Cap,1290.0,970.0,https://www.freshlabels.cz/en/products/carhartt-wip-clover-cap-c4859/,queens
Carhartt WIP,Commuting Tales Cap,1290.0,900.0,https://www.freshlabels.cz/en/products/carhartt-wip-commuting-tales-cap-c4856/,queens
Carhartt WIP,Clover Cap,1290.0,970.0,https://www.freshlabels.cz/en/products/carhartt-wip-clover-cap-c4860/,queens
Herschel Supply,Charlie Cardholder,590.0,470.0,https://www.freshlabels.cz/en/products/herschel-supply-charlie-cardholder-he4063/,queens
Herschel Supply,Elmer Shallow Beanie,590.0,410.0,https://www.freshlabels.cz/en/products/herschel-supply-elmer-shallow-beanie-he4072/,queens
ENAMEL Copenhagen,"Earrings, Inga",1490.0,1190.0,https://www.freshlabels.cz/en/products/enamel-copenhagen-earrings-inga-ena022/,queens
ENAMEL Copenhagen,"Studs, Nima",1490.0,1190.0,https://www.freshlabels.cz/en/products/enamel-copenhagen-studs-nima-ena053/,queens
